r	nr	nrp
0   0.0 0.0
0	1.0	0.12157665459056935
1	20.0	0.27017034353459857
2	190.0	0.2851798070642985
3	1140.0	0.19011987137619904
4	4845.0	0.08977882814987174
5	15504.0	0.0319213611199544
6	38760.0	0.008867044755542891
7	77520.0	0.001970454390120642
8	125970.0	0.00035577648710511604
9	167960.0	5.270762771927644e-05
10	184756.0	6.442043387911565e-06
11	167960.0	6.507114533244005e-07
12	125970.0	5.422595444370004e-08
13	77520.0	3.707757568800003e-09
14	38760.0	2.0598653160000019e-10
15	15504.0	9.154956960000008e-12
16	4845.0	3.1788045000000026e-13
17	1140.0	8.31060000000001e-15
18	190.0	1.5390000000000017e-16
19	20.0	1.800000000000002e-18
20	1.0	1.0000000000000011e-20
